epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,24794.4,1.74487,0.98418,0.99185,0.77077,0.60732,0.69325,0.33008,1.68372,0.93857,0.97356,0.0030205,0.0030205,0.0030205
143,24968.7,1.73339,0.98158,0.99097,0.76564,0.61007,0.69317,0.32986,1.68414,0.93761,0.97344,0.002971,0.002971,0.002971
144,25143.2,1.72286,0.97541,0.98674,0.76671,0.60958,0.69356,0.33021,1.68435,0.93741,0.97305,0.0029215,0.0029215,0.0029215
145,25318.3,1.73203,0.98933,0.98765,0.76575,0.60916,0.69366,0.33011,1.68487,0.93725,0.9731,0.002872,0.002872,0.002872
146,25492.9,1.71859,0.97597,0.98441,0.76705,0.60985,0.69462,0.3309,1.68529,0.93712,0.97324,0.0028225,0.0028225,0.0028225
147,25667.5,1.74601,0.98163,0.98656,0.7657,0.60943,0.69341,0.33099,1.68468,0.93733,0.97303,0.002773,0.002773,0.002773
148,25842.3,1.7336,0.97433,0.98433,0.76659,0.60971,0.69391,0.33094,1.6844,0.93663,0.97295,0.0027235,0.0027235,0.0027235
149,26017.4,1.73518,0.97979,0.98505,0.76733,0.61135,0.696,0.33164,1.6853,0.93607,0.97325,0.002674,0.002674,0.002674
150,26193.5,1.71489,0.9739,0.98636,0.76747,0.61102,0.69581,0.33146,1.68507,0.93668,0.97328,0.0026245,0.0026245,0.0026245
151,26368.3,1.72488,0.97599,0.98544,0.76771,0.61159,0.69637,0.3313,1.6855,0.93617,0.97347,0.002575,0.002575,0.002575
152,26542.3,1.71956,0.96499,0.97773,0.76658,0.61236,0.69625,0.33084,1.68544,0.93538,0.97343,0.0025255,0.0025255,0.0025255
153,26715.9,1.72394,0.96356,0.9758,0.76596,0.61291,0.69645,0.33058,1.68588,0.93549,0.97357,0.002476,0.002476,0.002476
154,26890.1,1.71766,0.96306,0.98622,0.76544,0.61314,0.69599,0.33032,1.6858,0.93604,0.97335,0.0024265,0.0024265,0.0024265
155,27064.7,1.72002,0.96693,0.97999,0.76423,0.61282,0.69559,0.33075,1.68499,0.93607,0.97332,0.002377,0.002377,0.002377
156,27238.8,1.70881,0.96124,0.97869,0.76673,0.60985,0.6953,0.33078,1.68547,0.93646,0.97332,0.0023275,0.0023275,0.0023275
157,27413.1,1.71669,0.95578,0.98247,0.76507,0.61178,0.69634,0.33119,1.68557,0.93589,0.97338,0.002278,0.002278,0.002278
158,27588.1,1.71228,0.96385,0.98369,0.76367,0.61293,0.69632,0.331,1.68605,0.93599,0.97348,0.0022285,0.0022285,0.0022285
159,27762.7,1.72794,0.97097,0.98443,0.76602,0.61128,0.69641,0.33108,1.68589,0.9362,0.97349,0.002179,0.002179,0.002179
160,27937.5,1.6817,0.93714,0.97448,0.76649,0.61171,0.69683,0.33146,1.68644,0.93584,0.97351,0.0021295,0.0021295,0.0021295
161,28112.6,1.69874,0.95408,0.98154,0.76683,0.61193,0.69724,0.33138,1.68611,0.93551,0.97357,0.00208,0.00208,0.00208
162,28288.6,1.69795,0.94972,0.97792,0.76507,0.61384,0.69692,0.33105,1.6862,0.93568,0.97348,0.0020305,0.0020305,0.0020305
163,28462.6,1.69754,0.94888,0.9711,0.76499,0.61372,0.69648,0.33083,1.68662,0.93567,0.97374,0.001981,0.001981,0.001981
164,28637.2,1.69168,0.94487,0.9763,0.76379,0.61529,0.69686,0.33091,1.687,0.93541,0.97381,0.0019315,0.0019315,0.0019315
165,28812.1,1.6814,0.94141,0.9785,0.76384,0.61522,0.69629,0.331,1.6872,0.93521,0.97384,0.001882,0.001882,0.001882
166,28986.7,1.68686,0.94223,0.97388,0.76559,0.61529,0.69681,0.33096,1.68727,0.93482,0.97386,0.0018325,0.0018325,0.0018325
167,29161.1,1.69319,0.93913,0.97532,0.76581,0.61536,0.69693,0.33104,1.68725,0.93468,0.97409,0.001783,0.001783,0.001783
168,29336.6,1.69168,0.94313,0.97317,0.76542,0.61543,0.69709,0.33105,1.68777,0.93448,0.97395,0.0017335,0.0017335,0.0017335
169,29512.1,1.69113,0.93393,0.98146,0.7657,0.61615,0.69766,0.3312,1.68778,0.93462,0.97405,0.001684,0.001684,0.001684
170,29687.4,1.70381,0.95805,0.97287,0.76569,0.61548,0.69751,0.33144,1.68782,0.93441,0.97409,0.0016345,0.0016345,0.0016345
